OBJECTID,VACCINATION_DATE,County,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative,SingleDoseDaily,SingleDoseCumulative,AtLeastOneDose,FullyVaccinated,FullVaccinatedCumulative,AtLeastOneDoseCumulative
2400,2021/04/28 15:00:00+00,Caroline                                          ,120,10328,83,8294,10,2408,130,93,10702,12736
2401,2021/04/29 15:00:00+00,Caroline                                          ,61,10389,178,8472,14,2422,75,192,10894,12811
2402,2021/04/30 15:00:00+00,Caroline                                          ,164,10553,54,8526,19,2441,183,73,10967,12994
2403,2021/05/01 15:00:00+00,Caroline                                          ,19,10572,33,8559,,2441,,,11000,13013
2404,2021/05/02 15:00:00+00,Caroline                                          ,7,10579,14,8573,,2441,,,11014,13020
2405,2021/05/03 15:00:00+00,Caroline                                          ,10,10589,35,8608,6,2447,16,41,11055,13036
2406,2021/05/04 15:00:00+00,Caroline                                          ,30,10619,40,8648,17,2464,47,57,11112,13083
2407,2021/05/05 15:00:00+00,Caroline                                          ,65,10684,31,8679,3,2467,68,34,11146,13151
2408,2021/05/06 15:00:00+00,Caroline                                          ,37,10721,135,8814,12,2479,49,147,11293,13200
2409,2021/05/07 15:00:00+00,Caroline                                          ,24,10745,44,8858,17,2496,41,61,11354,13241
2410,2021/04/24 15:00:00+00,Charles                                           ,1289,56188,507,37960,5,3222,1294,512,41182,59410
2411,2021/04/25 15:00:00+00,Charles                                           ,1155,57343,108,38068,,3222,,,41290,60565
2412,2021/04/26 15:00:00+00,Charles                                           ,623,57966,319,38387,3,3225,626,322,41612,61191
2413,2021/04/27 15:00:00+00,Charles                                           ,733,58699,343,38730,16,3241,749,359,41971,61940
2414,2021/04/28 15:00:00+00,Charles                                           ,562,59261,1204,39934,39,3280,601,1243,43214,62541
2415,2021/04/29 15:00:00+00,Charles                                           ,446,59707,1123,41057,31,3311,477,1154,44368,63018
2416,2021/04/30 15:00:00+00,Charles                                           ,700,60407,467,41524,34,3345,734,501,44869,63752
2417,2021/05/01 15:00:00+00,Charles                                           ,363,60770,352,41876,37,3382,400,389,45258,64152
2418,2021/05/02 15:00:00+00,Charles                                           ,305,61075,190,42066,16,3398,321,206,45464,64473
2419,2021/05/03 15:00:00+00,Charles                                           ,260,61335,426,42492,29,3427,289,455,45919,64762
2420,2021/05/04 15:00:00+00,Charles                                           ,330,61665,586,43078,38,3465,368,624,46543,65130
2421,2021/05/05 15:00:00+00,Charles                                           ,371,62036,1198,44276,30,3495,401,1228,47771,65531
2422,2021/05/06 15:00:00+00,Charles                                           ,393,62429,510,44786,65,3560,458,575,48346,65989
2423,2021/05/07 15:00:00+00,Charles                                           ,207,62636,328,45114,20,3580,227,348,48694,66216
2424,2021/05/08 15:00:00+00,Charles                                           ,118,62754,248,45362,19,3599,137,267,48961,66353
2425,2021/05/09 15:00:00+00,Charles                                           ,266,63020,296,45658,19,3618,285,315,49276,66638
2426,2021/05/10 15:00:00+00,Charles                                           ,232,63252,514,46172,28,3646,260,542,49818,66898
2427,2021/05/11 15:00:00+00,Charles                                           ,308,63560,1107,47279,21,3667,329,1128,50946,67227
2428,2021/05/12 15:00:00+00,Charles                                           ,327,63887,302,47581,38,3705,365,340,51286,67592
2429,2021/05/13 15:00:00+00,Charles                                           ,485,64372,1421,49002,38,3743,523,1459,52745,68115
2430,2021/05/14 15:00:00+00,Charles                                           ,273,64645,302,49304,38,3781,311,340,53085,68426
2431,2021/05/15 15:00:00+00,Charles                                           ,184,64829,311,49615,30,3811,214,341,53426,68640
2432,2021/05/16 15:00:00+00,Charles                                           ,290,65119,1293,50908,18,3829,308,1311,54737,68948
2433,2021/05/17 15:00:00+00,Charles                                           ,498,65617,1031,51939,25,3854,523,1056,55793,69471
2434,2021/05/18 15:00:00+00,Charles                                           ,690,66307,1608,53547,32,3886,722,1640,57433,70193
2435,2021/05/19 15:00:00+00,Charles                                           ,913,67220,984,54531,24,3910,937,1008,58441,71130
2436,2021/05/20 15:00:00+00,Charles                                           ,591,67811,779,55310,44,3954,635,823,59264,71765
2437,2021/05/21 15:00:00+00,Charles                                           ,308,68119,306,55616,33,3987,341,339,59603,72106
2438,2021/03/22 15:00:00+00,Somerset                                          ,34,4481,4,2790,22,96,56,26,2886,4577
2439,2021/03/23 15:00:00+00,Somerset                                          ,113,4594,13,2803,22,118,135,35,2921,4712
2440,2021/03/24 15:00:00+00,Somerset                                          ,129,4723,141,2944,2,120,131,143,3064,4843
2441,2021/03/25 15:00:00+00,Somerset                                          ,104,4827,14,2958,2,122,106,16,3080,4949
2442,2021/03/26 15:00:00+00,Somerset                                          ,83,4910,139,3097,25,147,108,164,3244,5057
2443,2021/03/27 15:00:00+00,Somerset                                          ,15,4925,9,3106,,147,,,3253,5072
2444,2021/03/28 15:00:00+00,Somerset                                          ,4,4929,1,3107,,147,,,3254,5076
2445,2021/03/29 15:00:00+00,Somerset                                          ,188,5117,15,3122,5,152,193,20,3274,5269
2446,2021/03/30 15:00:00+00,Somerset                                          ,127,5244,44,3166,78,230,205,122,3396,5474
2447,2021/03/31 15:00:00+00,Somerset                                          ,117,5361,114,3280,7,237,124,121,3517,5598
2448,2021/04/01 15:00:00+00,Somerset                                          ,213,5574,126,3406,7,244,220,133,3650,5818
2449,2021/04/02 15:00:00+00,Somerset                                          ,46,5620,49,3455,38,282,84,87,3737,5902
2450,2021/04/03 15:00:00+00,Somerset                                          ,20,5640,,3455,23,305,43,,3760,5945
2451,2021/04/04 15:00:00+00,Somerset                                          ,3,5643,,3455,,305,,,3760,5948
2452,2021/04/05 15:00:00+00,Somerset                                          ,54,5697,150,3605,12,317,66,162,3922,6014
